LINK,SCHOOL,LAT,LONG,NAME,CONFERENCE,COLOR_SOURCE,R0,G0,B0,HEX0,R1,G1,B1,HEX1,R2,G2,B2,HEX2,R3,G3,B3,HEX3,R4,G4,B4,HEX4
https://en.wikipedia.org/wiki/University_of_Texas_at_El_Paso,UTEP,31.77338029,-106.5046672,Miners,C-USA,http://universitycommunications.utep.edu/identityguide/download/utepgraphicidentityguide.pdf,255,86,0,#FF5600,0,33,71,#002147,178,180,179,#B2B4B3,,,,,,,,
https://en.wikipedia.org/wiki/University_of_Texas_at_San_Antonio,UTSA,29.58333,-98.62083,Roadrunners,C-USA,https://www.utsa.edu/ucm/assets/pdf/utsa-brand-identity.pdf,241,90,34,#F15A22,12,35,64,#0C2340,,,,,,,,,,,,
https://en.wikipedia.org/wiki/University_of_Toledo,Toledo,41.65799259,-83.61425886,Rockets,MAC,http://wxut.pbworks.com/f/UT+Style+Guide.pdf,0,37,105,#002569,255,206,0,#FFCE00,127,145,179,#7F91B3,185,71,0,#B94700,,,,
https://en.wikipedia.org/wiki/University_of_Tulsa,Tulsa,36.15222,-95.94639,Golden Hurricane,American,http://utulsa.edu/wp-content/uploads/2015/01/tu-graphic-style-guidelines-aug2014.pdf,0,61,204,#003DCC,212,197,129,#D4C581,255,230,89,#FFE659,245,0,47,#F5002F,,,,
https://en.wikipedia.org/wiki/University_of_Utah,Utah,40.7642,-111.8465,Utes,Pac-12,http://umc.utah.edu/resources/branding-guidelines/visual-style/,204,0,0,#CC0000,128,128,128,#808080,,,,,,,,,,,,
https://en.wikipedia.org/wiki/University_of_Virginia,Virginia,38.03556,-78.50333,Cavaliers,ACC,http://athletics.virginiasports.com/licensing/pdf/current_logo_sheet.pdf,250,70,22,#FA4616,4,30,66,#041E42,0,47,108,#002F6C,,,,,,,,
https://en.wikipedia.org/wiki/University_of_Washington,Washington,47.6541,-122.308,Huskies,Pac-12,https://www.washington.edu/brand/graphic-elements/primary-color-palette/,51,0,111,#33006F,232,211,162,#E8D3A2,216,217,218,#D8D9DA,,,,,,,,
https://en.wikipedia.org/wiki/University_of_Wisconsin%E2%80%93Madison,Wisconsin,43.075,-89.4172,Badgers,Big Ten,https://licensing.wiscweb.wisc.edu/wp-content/uploads/sites/88/2017/10/Wisconsin_StyleGuide_7_17.pdf,151,34,52,#972234,231,217,193,#E7D9C1,193,180,154,#C1B49A,255,174,0,#FFAE00,255,227,0,#FFE300
https://en.wikipedia.org/wiki/University_of_Wyoming,Wyoming,41.31306,-105.58139,Cowboys,Mountain West,http://grfx.cstv.com/photos/schools/wyo/genrel/auto_pdf/2013-14/misc_non_event/wyo-style-guide.pdf,255,196,37,#FFC425,73,47,36,#492F24,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Utah_State_University,Utah State,41.745,-111.809,Aggies,Mountain West,https://www.usu.edu/licensing/pdf/athletics_vip.pdf,0,42,66,#002A42,157,150,141,#9D968D,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Vanderbilt_University,Vanderbilt,36.148649,-86.804972,Commodores,SEC,https://www4.vanderbilt.edu/graphicstandards/athletics/colors-a.php,207,171,109,#CFAB6D,,,,,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Virginia_Tech,Virginia Tech,37.225,-80.425,Hokies,ACC,https://www.branding.unirel.vt.edu/content/dam/branding_unirel_vt_edu/2015-brand-guide.pdf,102,0,0,#660000,255,102,0,#FF6600,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Wake_Forest_University,Wake Forest,36.13566197,-80.27925652,Demon Deacons,ACC,http://wfbrandstandards.com/the-logo/,158,126,56,#9E7E38,,,,,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Washington_State_University,Washington State,46.73,-117.16,Cougars,Pac-12,http://wsu_ftp.sidearmsports.com/pdf9/2762604.pdf,152,30,50,#981E32,83,86,90,#53565A,214,214,209,#D6D6D1,,,,,,,,
https://en.wikipedia.org/wiki/West_Virginia_University,West Virginia,39.6458,-79.9697,Mountaineers,Big 12,https://brand.wvu.edu/downloads-toolkit/color-palette,0,40,85,#002855,234,170,0,#EAAA00,162,170,173,#A2AAAD,75,61,42,#4B3D2A,,,,
https://en.wikipedia.org/wiki/Western_Kentucky_University,Western Kentucky,36.98611,-86.45556,Hilltoppers,C-USA,https://www.wku.edu/marketingandcommunications/documents/communication_branding_manual.pdf,176,30,36,#B01E24,,,,,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Western_Michigan_University,Western Michigan,42.28333,-85.61389,Broncos,MAC,https://wmich.edu/visualidentity/color-palette,68,36,22,#442416,255,174,0,#FFAE00,,,,,,,,,,,,
